GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rms-platform,io.extact.rms.platform.jwt.consumer,JwtSecurityContext,7,21,0,0,2,7,2,3,2,3
rms-platform,io.extact.rms.platform.role,DenyAllRequestFilter,0,19,0,0,0,5,0,3,0,3
rms-platform,io.extact.rms.platform.role,RolesAllowedRequestFilter,0,60,0,4,0,14,0,5,0,3
rms-platform,io.extact.rms.platform.role,RoleSecurityDynamicFeature,0,82,0,10,0,24,0,9,0,4
rms-platform,io.extact.rms.platform.debug.ext,SessionLogBridge,35,0,6,0,11,0,9,0,4,0
rms-platform,io.extact.rms.platform.env,Environment,4,16,2,2,1,6,3,2,1,2
rms-platform,io.extact.rms.platform.env,MainJarInfo,0,62,0,2,0,19,0,10,0,9
rms-platform,io.extact.rms.platform.env,MainJarInfo.FindJarMatcher,0,14,0,0,0,4,0,2,0,2
rms-platform,io.extact.rms.platform.env,MainJarInfo.MainJarInfoBuilder,12,177,0,10,4,41,0,12,0,7
rms-platform,io.extact.rms.platform.validate,ValidateParamInterceptor,3,63,1,7,1,16,1,5,0,2
rms-platform,io.extact.rms.platform.validate,ValidateParamInterceptor.InnerValidatorImpl,31,20,0,0,5,7,5,3,5,3
rms-platform,io.extact.rms.platform.config,ResourcePathUnderConfigProvider,6,37,0,0,2,9,0,6,0,6
rms-platform,io.extact.rms.platform.config,ExternalPathConfigProvider,0,23,0,4,0,8,0,4,0,2
rms-platform,io.extact.rms.platform.config,MpConfigFactory,0,20,0,0,0,4,0,1,0,1
rms-platform,io.extact.rms.platform.config.helidon,HelidonMpConfigFactory,6,69,1,11,1,19,1,9,0,4
rms-platform,io.extact.rms.platform.health,MemoryEvaluateResource,0,21,0,0,0,5,0,3,0,3
rms-platform,io.extact.rms.platform.health,MemoryHealthCheck.EvaluateHolder,0,25,0,0,0,8,0,4,0,4
rms-platform,io.extact.rms.platform.health,MemoryHealthCheck.MemoryUsageFunction,0,8,0,0,0,1,0,1,0,1
rms-platform,io.extact.rms.platform.health,MemoryHealthCheck.MemoryLivenessEvaluator,8,60,3,4,1,7,3,5,0,4
rms-platform,io.extact.rms.platform.health,MemoryHealthCheck,0,87,0,0,0,23,0,7,0,7
rms-platform,io.extact.rms.platform.debug,MpConfigDump,76,14,3,1,14,6,5,3,3,3
rms-platform,io.extact.rms.platform.debug,MpConfigDump.ContainsForwardMatch,24,0,4,0,4,0,4,0,2,0
rms-platform,io.extact.rms.platform.debug,ServerHeaderDumpFilter,88,0,4,0,18,0,8,0,6,0
rms-platform,io.extact.rms.platform.debug,DebugSleepInterceptor,48,0,2,0,10,0,4,0,3,0
rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBean,0,12,0,0,0,4,0,4,0,4
rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBeanBinder.ConfiguredCdiBeansListBinder,0,21,0,0,0,6,0,3,0,3
rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBeanBinder.AliasKey,0,9,0,0,0,4,0,1,0,1
rms-platform,io.extact.rms.platform.extension,ApplicationInitializerCdiExtension,0,86,0,4,0,21,0,7,0,5
rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBeanBinder.ConfiguredCdiBeansListBindFinisher,0,134,0,8,0,25,0,8,0,4
rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBeanBinder.ConfiguredCdiBeanBindFinisher,0,144,0,4,0,19,0,8,0,6
rms-platform,io.extact.rms.platform.extension,ConfiguredCdiBeanBinder,0,97,0,0,0,19,0,11,0,11
rms-platform,io.extact.rms.platform.util,ResourceUtils.TargetFileCollector,0,22,0,2,0,7,0,3,0,2
rms-platform,io.extact.rms.platform.util,ResourceUtils,30,202,1,11,10,48,2,18,1,13
